iter	Passed	Remaining
0	12	6406
1	19	4954
2	25	4291
3	32	4040
4	41	4069
5	48	3989
6	55	3891
7	62	3816
8	68	3744
9	73	3611
10	80	3564
11	86	3501
12	92	3464
13	99	3437
14	105	3413
15	111	3387
16	119	3407
17	126	3392
18	132	3357
19	139	3349
20	146	3347
21	153	3332
22	160	3321
23	167	3329
24	173	3302
25	180	3285
26	186	3275
27	193	3263
28	199	3239
29	205	3224
30	212	3211
31	218	3195
32	224	3176
33	230	3156
34	237	3150
35	244	3146
36	250	3131
37	258	3137
38	266	3148
39	277	3185
40	283	3173
41	289	3153
42	295	3145
43	302	3136
44	308	3117
45	314	3107
46	321	3096
47	327	3080
48	333	3073
49	339	3057
50	346	3049
51	353	3041
52	358	3025
53	365	3016
54	371	3006
55	377	2993
56	383	2981
57	389	2971
58	396	2963
59	403	2960
60	411	2958
61	417	2948
62	423	2938
63	429	2928
64	435	2915
65	442	2910
66	448	2900
67	455	2893
68	462	2889
69	470	2890
70	476	2880
71	483	2873
72	490	2870
73	497	2866
74	503	2854
75	510	2850
76	517	2842
77	523	2830
78	529	2823
79	537	2821
80	543	2810
81	550	2806
82	557	2799
83	563	2792
84	570	2784
85	577	2782
86	583	2771
87	591	2767
88	598	2763
89	604	2754
90	611	2747
91	618	2743
92	625	2735
93	630	2724
94	647	2758
95	655	2759
96	662	2752
97	669	2746
98	676	2740
99	683	2734
100	690	2727
101	697	2720
102	704	2715
103	711	2707
104	717	2699
105	724	2694
106	731	2686
107	737	2676
108	744	2672
109	751	2663
110	758	2658
111	766	2654
112	774	2652
113	782	2648
114	789	2643
115	796	2637
116	803	2631
117	810	2623
118	817	2617
119	825	2613
120	832	2607
121	840	2603
122	847	2597
123	855	2593
124	862	2586
125	868	2577
126	874	2569
127	881	2562
128	888	2556
129	904	2575
130	912	2570
131	919	2563
132	927	2559
133	934	2551
134	941	2545
135	948	2538
136	955	2532
137	963	2527
138	970	2521
139	978	2516
140	989	2519
141	997	2514
142	1004	2507
143	1011	2499
144	1019	2496
145	1026	2488
146	1033	2482
147	1041	2476
148	1049	2471
149	1056	2464
150	1064	2459
151	1070	2450
152	1078	2445
153	1085	2438
154	1092	2431
155	1099	2423
156	1107	2418
157	1114	2411
158	1121	2404
159	1127	2396
160	1134	2389
161	1140	2380
162	1146	2369
163	1152	2361
164	1158	2351
165	1165	2344
166	1172	2337
167	1178	2328
168	1184	2320
169	1191	2313
170	1197	2304
171	1204	2296
172	1211	2289
173	1217	2281
174	1224	2273
175	1231	2267
176	1238	2259
177	1245	2253
178	1252	2246
179	1259	2238
180	1265	2230
181	1272	2223
182	1279	2215
183	1285	2208
184	1292	2201
185	1298	2192
186	1305	2184
187	1311	2176
188	1318	2169
189	1324	2160
190	1331	2153
191	1338	2146
192	1344	2139
193	1351	2132
194	1358	2124
195	1363	2115
196	1370	2108
197	1377	2100
198	1383	2092
199	1390	2086
200	1398	2079
201	1404	2071
202	1410	2064
203	1417	2057
204	1424	2049
205	1430	2042
206	1438	2035
207	1444	2027
208	1450	2019
209	1457	2013
210	1464	2005
211	1470	1997
212	1477	1990
213	1483	1981
214	1489	1974
215	1496	1967
216	1503	1961
217	1509	1952
218	1517	1947
219	1524	1940
220	1530	1932
221	1536	1924
222	1543	1917
223	1549	1908
224	1556	1902
225	1572	1905
226	1578	1898
227	1585	1891
228	1591	1883
229	1598	1876
230	1604	1868
231	1611	1861
232	1617	1853
233	1624	1846
234	1630	1838
235	1636	1831
236	1644	1825
237	1652	1819
238	1659	1812
239	1665	1804
240	1672	1797
241	1678	1789
242	1685	1782
243	1692	1775
244	1699	1768
245	1704	1760
246	1711	1752
247	1717	1745
248	1723	1737
249	1730	1730
250	1736	1722
251	1743	1715
252	1749	1708
253	1755	1700
254	1761	1692
255	1767	1684
256	1773	1677
257	1780	1669
258	1786	1662
259	1794	1656
260	1801	1649
261	1808	1643
262	1815	1635
263	1821	1628
264	1828	1621
265	1834	1614
266	1840	1606
267	1847	1599
268	1853	1591
269	1860	1584
270	1866	1577
271	1872	1569
272	1879	1562
273	1885	1555
274	1892	1548
275	1900	1542
276	1907	1535
277	1913	1528
278	1919	1520
279	1926	1514
280	1933	1506
281	1938	1498
282	1945	1491
283	1952	1485
284	1959	1477
285	1966	1471
286	1973	1464
287	1978	1456
288	1985	1449
289	1992	1442
290	1997	1434
291	2004	1427
292	2011	1421
293	2017	1413
294	2024	1407
295	2032	1400
296	2037	1392
297	2044	1386
298	2051	1378
299	2057	1371
300	2064	1364
301	2070	1357
302	2077	1350
303	2083	1343
304	2090	1336
305	2096	1328
306	2103	1322
307	2110	1315
308	2116	1308
309	2123	1301
310	2130	1294
311	2135	1286
312	2142	1279
313	2148	1272
314	2154	1265
315	2161	1258
316	2168	1251
317	2174	1244
318	2182	1238
319	2190	1232
320	2198	1225
321	2205	1219
322	2212	1212
323	2219	1205
324	2225	1198
325	2232	1191
326	2239	1184
327	2246	1177
328	2252	1170
329	2259	1163
330	2265	1156
331	2272	1149
332	2279	1143
333	2286	1136
334	2292	1129
335	2298	1121
336	2304	1114
337	2311	1107
338	2317	1100
339	2324	1093
340	2330	1086
341	2338	1080
342	2346	1073
343	2352	1066
344	2358	1059
345	2365	1053
346	2372	1045
347	2378	1038
348	2385	1031
349	2391	1024
350	2398	1017
351	2404	1011
352	2410	1003
353	2417	996
354	2424	990
355	2431	983
356	2437	976
357	2444	969
358	2452	963
359	2459	956
360	2466	949
361	2475	943
362	2483	937
363	2490	930
364	2497	923
365	2505	917
366	2512	910
367	2520	904
368	2527	897
369	2534	890
370	2543	884
371	2551	877
372	2558	871
373	2565	864
374	2572	857
375	2580	851
376	2588	844
377	2595	837
378	2604	831
379	2613	825
380	2621	818
381	2629	812
382	2638	805
383	2648	799
384	2657	793
385	2667	787
386	2675	781
387	2682	774
388	2689	767
389	2697	760
390	2703	753
391	2710	746
392	2717	739
393	2725	733
394	2731	726
395	2739	719
396	2746	712
397	2752	705
398	2758	698
399	2765	691
400	2771	684
401	2777	677
402	2784	670
403	2791	663
404	2798	656
405	2805	649
406	2812	642
407	2820	636
408	2826	628
409	2833	621
410	2839	614
411	2845	607
412	2852	600
413	2857	593
414	2864	586
415	2871	579
416	2880	573
417	2887	566
